,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
23,0.4461974143981934,0.017326483613297444,0.023958301544189452,0.0003249543811841492,300,6,3,sqrt,12,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(12), 'bootstrap': False}",0.955410447761194,0.9350746268656717,0.9194029850746268,0.9096520763187429,0.9015151515151516,0.9242110575070773,0.01919168952432253,30
24,1.1155344009399415,0.016137336023835665,0.057473278045654295,0.0019590728085505903,800,8,4,log2,15,False,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(4), 'max_features': 'log2', 'max_depth': np.int64(15), 'bootstrap': False}",0.9548507462686568,0.9335820895522389,0.9212686567164179,0.9074074074074073,0.9026515151515151,0.9239520830192471,0.018879119024665676,32
25,1.5646591186523438,0.39352752483875575,0.06405177116394042,0.018903938525338136,800,8,2,sqrt,19,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(19), 'bootstrap': True}",0.951865671641791,0.9324626865671641,0.9207089552238806,0.9117096894874672,0.8984848484848484,0.9230463702810303,0.01820149080065533,44
26,1.4190609455108643,0.4323132865083968,0.07096948623657226,0.022967655471803936,800,6,1,log2,16,False,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(1), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': False}",0.9460820895522387,0.9292910447761195,0.9166044776119403,0.9083426861204639,0.897159090909091,0.9194958777939707,0.016937874008994214,56
28,0.9766854286193848,0.18566900064827468,0.04458189010620117,0.0022486289807240305,600,8,1,sqrt,16,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9483208955223881,0.9300373134328358,0.9182835820895522,0.9124579124579125,0.8971590909090909,0.9212517588823559,0.017184426587327353,51
30,0.1481837272644043,0.009392709400611913,0.009315681457519532,7.989084632303849e-05,100,4,6,log2,6,True,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(6), 'bootstrap': True}",0.9535447761194029,0.9294776119402985,0.9177238805970149,0.911522633744856,0.90625,0.9237037804803144,0.016808308314166902,36
31,1.4442238330841064,0.4978174658692014,0.0913151741027832,0.03693352264772052,900,6,6,sqrt,17,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(17), 'bootstrap': False}",0.9546641791044777,0.9341417910447761,0.9205223880597015,0.9102132435465768,0.9068181818181817,0.9252719567147428,0.01750680867932737,12
33,0.9766719818115235,0.09242270641057798,0.05612459182739258,0.0005666983960625333,900,8,2,sqrt,3,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(3), 'bootstrap': False}",0.9501865671641792,0.9277985074626866,0.9294776119402985,0.9074074074074073,0.9043560606060606,0.9238452309161265,0.016680814775463244,34
34,1.3623430728912354,0.3682307009040787,0.06546220779418946,0.017029032295696026,800,6,4,sqrt,6,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(6), 'bootstrap': True}",0.9552238805970149,0.9348880597014925,0.9208955223880597,0.9130190796857464,0.9047348484848484,0.9257522781714324,0.017773534396637546,7
35,1.407485055923462,0.28628113000312516,0.0575200080871582,0.00045772538919110634,900,2,6,sqrt,5,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(5), 'bootstrap': True}",0.9527985074626865,0.9315298507462686,0.9227611940298507,0.9126449682005237,0.9037878787878788,0.9247044798454416,0.016867557359431733,25
