,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
21,1.666762113571167,0.4347206040302351,0.07462997436523437,0.02235581815317203,900,9,4,sqrt,10,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(10), 'bootstrap': True}",0.9546641791044777,0.933955223880597,0.9203358208955223,0.9120838009726898,0.9034090909090908,0.9248896231524755,0.017971359218798312,23
22,0.3697217464447021,0.010630480305337354,0.022954416275024415,0.005226200506227593,300,3,3,sqrt,2,True,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(3), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(2), 'bootstrap': True}",0.9453358208955224,0.9190298507462688,0.9313432835820896,0.9051627384960719,0.8946969696969697,0.9191137326833845,0.0180442534626275,58
23,0.42960023880004883,0.013417074501999181,0.023293304443359374,0.00041855790658589095,300,6,3,sqrt,12,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(12), 'bootstrap': False}",0.9544776119402985,0.9352611940298508,0.919589552238806,0.9132061354283577,0.9011363636363636,0.9247341714547354,0.018502484760433664,25
24,1.4031416416168212,0.4270150840568767,0.08064241409301758,0.02479579415430595,800,8,4,log2,15,False,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(4), 'max_features': 'log2', 'max_depth': np.int64(15), 'bootstrap': False}",0.9539179104477612,0.933955223880597,0.921455223880597,0.9113355780022446,0.9026515151515151,0.924663090272543,0.017970034389986383,28
25,1.2359228610992432,0.010479389513264013,0.055250930786132815,0.0015560253968398645,800,8,2,sqrt,19,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(19), 'bootstrap': True}",0.9505597014925373,0.9345149253731343,0.9205223880597014,0.9126449682005238,0.8994318181818182,0.923534760261543,0.01766083377833413,42
26,1.487157392501831,0.4616497883809474,0.08744511604309083,0.03738106219664816,800,6,1,log2,16,False,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(1), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': False}",0.9453358208955225,0.9291044776119403,0.9162313432835821,0.912832023943135,0.8975378787878788,0.9202083089044117,0.016091661900400744,53
28,0.8819145202636719,0.0046441239336289086,0.04363751411437988,0.0008930760902698822,600,8,1,sqrt,16,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9473880597014925,0.930223880597015,0.9180970149253731,0.9160119715675271,0.8979166666666666,0.9219275186916148,0.016390584133736633,51
30,0.14542813301086427,0.008546111587899752,0.009575271606445312,0.00033462193583546024,100,4,6,log2,6,True,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(6), 'bootstrap': True}",0.9535447761194029,0.9294776119402985,0.9182835820895523,0.9117096894874672,0.9056818181818181,0.9237394955637077,0.01686323614881101,38
31,1.4933152198791504,0.46390070063329686,0.08553166389465332,0.02994365221796857,900,6,6,sqrt,17,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(17), 'bootstrap': False}",0.9539179104477611,0.9343283582089552,0.9205223880597015,0.910961466517022,0.906439393939394,0.9252339034345667,0.017231458358672968,18
33,0.9232986450195313,0.00595132091794433,0.057552337646484375,0.0013577371263939373,900,8,2,sqrt,3,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(3), 'bootstrap': False}",0.9501865671641792,0.9277985074626866,0.9294776119402985,0.9087167976056865,0.9043560606060606,0.9241071089557822,0.016429074593859058,33
